step,energy_eV,temperature_K
304,-814.02282715,91.2542
305,-813.97174072,87.8360
306,-813.96069336,87.8621
307,-813.96929932,90.3123
308,-813.95263672,89.3920
309,-813.90979004,87.3715
310,-813.87384033,85.4323
311,-813.87719727,84.9822
312,-813.90509033,85.9020
313,-813.91467285,86.6735
314,-813.90917969,85.9103
315,-813.91912842,86.0620
316,-813.95452881,88.9964
317,-813.98931885,91.9088
318,-814.00659180,92.6266
319,-814.00830078,93.3924
320,-814.01147461,94.5074
321,-814.02233887,95.1453
322,-814.02148438,96.6985
323,-814.00372314,95.6314
324,-813.98583984,94.6089
325,-813.98217773,94.2980
326,-813.97973633,94.5139
327,-813.95092773,92.2246
328,-813.90283203,89.3671
329,-813.88580322,89.4679
330,-813.91595459,91.1032
331,-813.95410156,93.8363
332,-813.95202637,94.6175
333,-813.91497803,93.2385
334,-813.89953613,92.0827
335,-813.93371582,95.4387
336,-813.95819092,97.8364
337,-813.91607666,95.7339
338,-813.82629395,92.1903
339,-813.76013184,89.1641
340,-813.76031494,90.4655
341,-813.79058838,91.1777
342,-813.78399658,92.6594
343,-813.72692871,90.2042
344,-813.69757080,88.8835
345,-813.75372314,92.8745
346,-813.85345459,99.7737
347,-813.89916992,101.7674
348,-813.88580322,101.0840
349,-813.88781738,101.4046
350,-813.94238281,105.0019
351,-814.00854492,108.7681
352,-814.00915527,108.7091
353,-813.92370605,104.8204
354,-813.82592773,99.1762
355,-813.80151367,97.9812
356,-813.83117676,99.5702
357,-813.83514404,102.0811
358,-813.77447510,98.4187
359,-813.71166992,94.6682
360,-813.71234131,97.1535
361,-813.76013184,99.9971
362,-813.77691650,102.6574
363,-813.72894287,99.9326
364,-813.65985107,96.7368
365,-813.63488770,95.3200
366,-813.65087891,96.5382
367,-813.65063477,96.9711
368,-813.61553955,94.4614
369,-813.58013916,93.3116
370,-813.58416748,94.5793
371,-813.61511230,98.2248
372,-813.63439941,98.7910
373,-813.63781738,99.3834
374,-813.66583252,102.5551
375,-813.71026611,105.1284
376,-813.74664307,106.7553
377,-813.77288818,108.9966
378,-813.81652832,110.3718
379,-813.86322021,113.3338
380,-813.88751221,115.4837
381,-813.88336182,115.7710
382,-813.87292480,115.8798
383,-813.87872314,114.8370
384,-813.88836670,115.6515
385,-813.86199951,116.0279
386,-813.78619385,110.8915
387,-813.71374512,105.2467
388,-813.70770264,104.9247
389,-813.75677490,108.9317
390,-813.76715088,110.2285
391,-813.69561768,105.8839
392,-813.60516357,101.0955
393,-813.58917236,100.1406
394,-813.64141846,104.1991
395,-813.66986084,105.4449
396,-813.60705566,102.3621
397,-813.49865723,96.3957
398,-813.43566895,93.4164
399,-813.47528076,96.0096
400,-813.54406738,100.7889
401,-813.54766846,102.5283
402,-813.48742676,99.4454
403,-813.43908691,96.4142
404,-813.47143555,98.3653
405,-813.56036377,102.8556
406,-813.62310791,107.6357
407,-813.61108398,107.5411
408,-813.57843018,105.2458
409,-813.59588623,106.2564
410,-813.66192627,109.5097
411,-813.72021484,113.0131
412,-813.71051025,113.8101
413,-813.65039062,110.2116
414,-813.59918213,107.6091
415,-813.59014893,106.3789
416,-813.61364746,107.8575
417,-813.61541748,108.8207
418,-813.57281494,106.1421
419,-813.51898193,102.3743
420,-813.49749756,101.0379
421,-813.51708984,104.4227
422,-813.53485107,106.2192
423,-813.51867676,105.5545
424,-813.48767090,104.5533
425,-813.46020508,102.1622
426,-813.45037842,102.1143
427,-813.45928955,102.6518
428,-813.46850586,103.9754
429,-813.45007324,103.2378
430,-813.41064453,101.0923
431,-813.38336182,99.5694
432,-813.38580322,99.8584
433,-813.40527344,100.3563
434,-813.42132568,101.9445
435,-813.42230225,104.0853
436,-813.40527344,104.6119
437,-813.38659668,103.6031
438,-813.40399170,106.7417
439,-813.43951416,108.4240
440,-813.45916748,109.9326
441,-813.44555664,109.4036
442,-813.41253662,107.9132
443,-813.39965820,107.7076
444,-813.41162109,107.8693
445,-813.43115234,108.5275
446,-813.44488525,110.2168
447,-813.42602539,110.2961
448,-813.40014648,108.5860
449,-813.41998291,110.8189
450,-813.47473145,114.7696
451,-813.50482178,117.9269
452,-813.47534180,115.7643
453,-813.42529297,110.9270
454,-813.41088867,109.7111
455,-813.44085693,110.7851
456,-813.48944092,115.1622
457,-813.51702881,115.8216
458,-813.50347900,116.9597
459,-813.48510742,117.0755
460,-813.50964355,119.7922
461,-813.56500244,123.0145
462,-813.58862305,123.5982
463,-813.55731201,122.7015
464,-813.49871826,118.3290
465,-813.46173096,115.9059
466,-813.45898438,117.5131
467,-813.47827148,119.9251
468,-813.47753906,119.8627
469,-813.42272949,117.8214
470,-813.36651611,114.3215
471,-813.38812256,115.2196
472,-813.47064209,119.9801
473,-813.53009033,123.8481
474,-813.52215576,125.5828
475,-813.49816895,124.0462
476,-813.50976562,125.6619
477,-813.56140137,128.5675
478,-813.60565186,131.0540
479,-813.58209229,131.6451
480,-813.48449707,126.8203
481,-813.39166260,122.1729
482,-813.36810303,120.6731
483,-813.38769531,121.5344
484,-813.37475586,120.4000
485,-813.31427002,117.7225
486,-813.25964355,115.3360
487,-813.24920654,116.1230
488,-813.28924561,118.8075
489,-813.35015869,121.6480
490,-813.38873291,123.6354
491,-813.38427734,122.8259
492,-813.35504150,121.1873
493,-813.34600830,120.4520
494,-813.36053467,120.5207
495,-813.36145020,120.2133
496,-813.31304932,116.3554
497,-813.24737549,112.8461
498,-813.20678711,111.9605
499,-813.22100830,111.5198
500,-813.28662109,115.9057
501,-813.33984375,118.7793
502,-813.33166504,119.5415
503,-813.29730225,118.1736
504,-813.31994629,121.3443
505,-813.40484619,127.1450
506,-813.45861816,130.0579
507,-813.43908691,128.4421
508,-813.37976074,125.4127
509,-813.35266113,125.7863
510,-813.39190674,128.8585
511,-813.43255615,131.9209
512,-813.38287354,130.2310
513,-813.27014160,123.7094
514,-813.19311523,119.1883
515,-813.19927979,119.7520
516,-813.23590088,121.2383
517,-813.23706055,121.8676
518,-813.18444824,119.9392
519,-813.14282227,118.1735
520,-813.18408203,121.5477
521,-813.27307129,126.7850
522,-813.30627441,130.5494
523,-813.25689697,128.6000
524,-813.21618652,125.8569
525,-813.22692871,126.5580
526,-813.27056885,128.7282
527,-813.29113770,130.2841
528,-813.26171875,129.4741
529,-813.21453857,128.6259
530,-813.20776367,127.7204
531,-813.23571777,128.8759
532,-813.25177002,130.4674
533,-813.23822021,129.6584
534,-813.22198486,128.7099
535,-813.20983887,129.7727
536,-813.18072510,128.7517
537,-813.14495850,127.3142
538,-813.13214111,125.5205
539,-813.15844727,126.5112
540,-813.19714355,128.8650
541,-813.18682861,128.3541
542,-813.14227295,127.1316
543,-813.16198730,128.0856
544,-813.25695801,132.5039
545,-813.32934570,136.0878
546,-813.31085205,135.8410
547,-813.23254395,133.0929
548,-813.18676758,132.1815
549,-813.22839355,132.7499
550,-813.29760742,134.2834
551,-813.27728271,132.4515
552,-813.17492676,128.5421
553,-813.12872314,127.3060
554,-813.20587158,132.0225
555,-813.31097412,139.0089
556,-813.32757568,141.6855
557,-813.24981689,139.0387
558,-813.17437744,134.7116
559,-813.19409180,135.3389
560,-813.27185059,139.7158
561,-813.28253174,140.7548
562,-813.17138672,136.4894
563,-813.05242920,129.3546
564,-813.04461670,127.8214
565,-813.10272217,131.1935
566,-813.11236572,132.5652
567,-813.05999756,130.7649
568,-813.02746582,130.0691
569,-813.06585693,132.1040
570,-813.14843750,138.2944
571,-813.19018555,142.2307
572,-813.15515137,140.5046
573,-813.12585449,139.4096
574,-813.13793945,139.5966
575,-813.14270020,139.8524
576,-813.10522461,135.9976
577,-813.05603027,133.5588
578,-813.05511475,131.7045
579,-813.10906982,135.6805
580,-813.15325928,138.7646
581,-813.13580322,138.1207
582,-813.07836914,136.1696
583,-813.07873535,136.5794
584,-813.15673828,142.6459
585,-813.20245361,145.4888
586,-813.13385010,142.8895
587,-813.04431152,137.0458
588,-813.06311035,138.3786
589,-813.17742920,145.6717
590,-813.26397705,149.3464
591,-813.24407959,148.8139
592,-813.19525146,146.2820
593,-813.20574951,147.7884
594,-813.28826904,153.3935
595,-813.33648682,155.5660
596,-813.26507568,150.2164
597,-813.12072754,142.5823
598,-813.03308105,137.6367
599,-813.04534912,137.9362
600,-813.07312012,139.0733
601,-813.03741455,137.0173
602,-812.98846436,135.6232
603,-813.01806641,136.5196
604,-813.11254883,143.4905
605,-813.17504883,146.9887
606,-813.16992188,147.2483
607,-813.13684082,146.2480
608,-813.10809326,143.5859
609,-813.08984375,142.9954
610,-813.05047607,140.6273
611,-812.98822021,137.0895
612,-812.93182373,133.5485
613,-812.91967773,133.3022
614,-812.94201660,135.0000
615,-812.94067383,134.4439
616,-812.91027832,132.3698
617,-812.93981934,135.6372
618,-813.02380371,140.0311
619,-813.05316162,141.3631
620,-813.00677490,138.2263
621,-812.96588135,137.2326
622,-812.97863770,138.5258
623,-813.01922607,140.3981
624,-813.03662109,141.9985
625,-812.99023438,141.9001
626,-812.91162109,136.2801
627,-812.90167236,137.2769
628,-812.97930908,142.8006
629,-813.04089355,145.8532
630,-812.99981689,145.2833
631,-812.91754150,141.7674
632,-812.90026855,142.3351
633,-812.95092773,145.2491
634,-812.97131348,146.7261
635,-812.92285156,145.0902
636,-812.86767578,140.7725
637,-812.87036133,140.1490
638,-812.91760254,143.1078
639,-812.94329834,145.1940
640,-812.93402100,145.9325
641,-812.92010498,145.7269
642,-812.93200684,146.6416
643,-812.96820068,147.8250
644,-812.97967529,149.1726
645,-812.93762207,144.9798
646,-812.88714600,141.9498
647,-812.89465332,142.9037
648,-812.92803955,144.8078
649,-812.91796875,143.6427
650,-812.90039062,142.9089
651,-812.92706299,145.0198
652,-812.96417236,148.4921
653,-812.97857666,148.1616
654,-812.98297119,148.4478
655,-812.98468018,149.3978
656,-812.99871826,149.9135
657,-813.03887939,152.6939
658,-813.06872559,154.7064
659,-813.06127930,154.3736
660,-813.06072998,155.2546
661,-813.10589600,158.1141
662,-813.15173340,161.0067
663,-813.15386963,162.7272
664,-813.12261963,161.6947
665,-813.11059570,160.4782
666,-813.13085938,160.3832
667,-813.13458252,161.3803
668,-813.06506348,158.4928
669,-812.93591309,151.9864
670,-812.83526611,146.2546
671,-812.79815674,145.0771
672,-812.76971436,141.6907
673,-812.72375488,139.6778
674,-812.67468262,138.3562
675,-812.66467285,137.2863
676,-812.70623779,140.5169
677,-812.75238037,142.9377
678,-812.75854492,143.1870
679,-812.75018311,143.0720
680,-812.81414795,146.9998
681,-812.93096924,154.1077
682,-812.96447754,157.7327
683,-812.87847900,153.4100
684,-812.80151367,150.4131
685,-812.82928467,153.5968
686,-812.88415527,158.1947
687,-812.85522461,156.1184
688,-812.74884033,148.5745
