material_id,xrd_mean_intensity,xrd_std_intensity,xrd_skew_intensity,xrd_kurt_intensity,peak_0_tt,peak_0_int,peak_1_tt,peak_1_int,peak_2_tt,peak_2_int,peak_3_tt,peak_3_int,peak_4_tt,peak_4_int,peak_5_tt,peak_5_int,peak_6_tt,peak_6_int,peak_7_tt,peak_7_int,peak_8_tt,peak_8_int,peak_9_tt,peak_9_int
mp-1096984,0.07025350538785664,0.185429133254269,3.721216666519602,14.035309513369262,65.99893548277691,0.05207091128363957,54.28806315492244,0.07755153553111453,44.0039153044988,0.10914615861719196,33.93315786602381,0.1249629994008484,31.493791526531812,0.1490065747445175,44.625115397639284,0.3734621953827803,19.777382896394254,0.4386084306848715,26.37217368445825,0.6150585838620635,23.22912028062199,0.8088474254444423,23.363562949741628,1.0
mp-1181348,0.058164262388962835,0.16137452037853095,4.486754181500499,20.748660620541603,41.70897838667096,0.08057418168198234,23.008973167149524,0.08408433315042474,32.373244710187585,0.10413962023433353,54.962468717928985,0.10567817312915695,31.164582479447986,0.1354908929343833,19.60467247468438,0.16145569683451838,36.70632177190926,0.3920049097792569,28.24143187932778,0.6548054139300428,27.370093008101644,0.7584647673718418,23.984673976068347,1.0
mp-558412,0.060339528663146784,0.14534272873962298,4.568213072433304,24.923082194584417,60.618610033047304,0.08897955001165979,32.860355200512394,0.16259136440727998,38.844671428183744,0.18050119947642176,37.1447308856661,0.22124839067560104,33.64848845243377,0.2474853984855866,30.161264886753134,0.2547861986435127,29.254955777149874,0.2666399273588371,16.840044470321192,0.4032724507980303,23.49194370083096,0.5403836266877039,28.915309821115027,1.0
mp-625104,0.03137692385108305,0.11692543084829495,7.390528016447896,59.88764945897846,36.680277248285,0.04614833863791064,64.9063479496482,0.053786956812935535,24.585370049948544,0.06628536396129854,46.616821743354855,0.06733352892237966,48.023525292580686,0.07873598391667257,46.337357452623124,0.09704891265291003,29.28306644433119,0.14448581873433455,23.478972262982122,0.2266537224793291,29.906050425418044,0.25010451036649345,27.323434477911096,1.0
mp-625105,0.02445598013973302,0.10887853862636485,8.161624943769198,72.02182745987146,46.94255870875633,0.04284598218696709,60.977892228030484,0.053056715809791176,51.24704789768706,0.05526681466554334,46.32744803135508,0.06041065849943018,44.853965477549075,0.08661799323913642,42.45196286171459,0.09787719574969152,27.74049941320201,0.10770350218130263,22.68575628848873,0.15948851416972842,27.36203098042602,0.24970502873171926,24.975161380955367,1.0
mp-555711,0.02606663438695038,0.09909857337282676,7.734700852174372,67.15808112391429,26.378489742451897,0.11448802789387152,33.83765323501526,0.12766450182201197,30.34724031549914,0.15223966063377276,31.504575046388247,0.18428234670560972,27.813266466988573,0.20229061001211535,27.85494444263514,0.22562477624135138,37.04538325818743,0.22856206097530377,30.385734616951847,0.26792532140187203,23.93232360388044,0.7765953089681036,18.27915632181947,1.0
mp-703527,0.02824961460677599,0.10321676711260104,7.400551191461437,64.33890293067809,52.625291441393045,0.06265575076233791,26.39043161410192,0.082717495688224,32.91827205846938,0.09695828257738734,31.00301241424838,0.12397103201979016,19.324316093815487,0.14680674457944107,26.74144136565314,0.2026928951858569,35.42394134927576,0.2327689352085844,28.151741918824904,0.3430322764300777,28.871741391525344,0.37251607784664215,30.501268049334843,1.0
mp-1212626,0.024764154110904324,0.09964157250694639,7.6589910930375,66.49768190972816,22.611860970179368,0.1553202255099628,13.102026904802058,0.20660340497762514,26.379370475266935,0.23612341610282653,21.628718283614823,0.23664203752713003,18.733671350145798,0.2510087148350687,14.64594269037006,0.2521218971518551,24.321636553288773,0.36060162263568896,29.66598021275643,0.4184304817281694,21.505768780305065,0.9257205409689954,27.834306678644616,1.0
mp-1001080,0.08578696781712533,0.19210104115391313,3.499721445669957,12.645731443035896,42.163969870153004,0.09291197842886792,50.919755974593194,0.1201280608537396,48.2049805654888,0.1357133434936975,39.7703979186526,0.15381930217656928,46.68847746373914,0.17715694596954074,28.425980874002587,0.17918902087433342,34.46337920823538,0.3418869673640932,20.722246599342785,0.598042655256118,24.823952678669276,0.7365304514996935,30.481380811694468,1.0
mp-995226,0.05043885388600065,0.15797084108878243,5.139989387260261,27.312312311316532,41.92365125081999,0.04008699395772699,58.52751382861978,0.05202491558464486,36.35558014474799,0.05442067163541656,57.366419054609544,0.05504689692806635,41.04790563711461,0.07520676614621279,31.06899723931948,0.0998063329373148,37.323142885865224,0.11477046590039947,16.4773102485651,0.16444333131025457,18.412493428875187,0.6800337407687045,24.805215341487063,1.0
