time_fs,avg_displacement_A,rms_displacement_A,com_drift_A,bbox_volume_A3
1261.0,0.3567279620033399,0.40266837307690456,0.022951764954988046,1566.9318818864613
1262.0,0.35563228176757555,0.4008969692505044,0.022784701924529614,1564.3703048470002
1263.0,0.3546678142203439,0.3991978854631329,0.022942037046313948,1561.7178998553181
1264.0,0.353747283147428,0.39750598708678003,0.02314708254786142,1558.7751369507462
1265.0,0.3526791649200043,0.39572855716181127,0.023332153135931507,1555.351733804417
1266.0,0.35139882281375867,0.39385387028992125,0.023373257274715967,1551.7063191196464
1267.0,0.3499392610502853,0.3919539638220456,0.023152024355839487,1548.4734359506795
1268.0,0.34833916026911255,0.3900946772281698,0.0227469015527665,1547.0434388334063
1269.0,0.34650974980877974,0.3882331764776319,0.022262157228734977,1546.082721308148
1270.0,0.34451683659669746,0.38645852964421745,0.021779184272763485,1545.1239932417843
1271.0,0.34257991871476295,0.3849554136298004,0.021378773111687246,1543.7294519356835
1272.0,0.3409697075617982,0.38390895659088464,0.021137486972120863,1541.01716599704
1273.0,0.33973614136445773,0.3832614524418578,0.020970925327028638,1536.905704383113
1274.0,0.338895964415971,0.3829755770694175,0.02079514835769192,1531.9649904242062
1275.0,0.33829855832051714,0.3828039980092222,0.02061260009410172,1528.5640192701296
1276.0,0.33785458393829987,0.3826296889946982,0.02039694593265458,1524.7331154424878
1277.0,0.3374225185089796,0.3823547949509183,0.020179540444869852,1520.2782860207901
1278.0,0.33681143682218906,0.3819101405572747,0.019939036528608168,1515.5959483679376
1279.0,0.3359946133080467,0.38141947927620523,0.01968251547215138,1512.8273304013985
1280.0,0.33497931272921716,0.3808833771401616,0.019434060172893054,1512.5572579116076
1281.0,0.33402170436921685,0.380549101988191,0.01918578711398913,1512.6754709950992
1282.0,0.33341323300884285,0.38060590225331076,0.01906942741225291,1512.5639693592113
1283.0,0.3332904843195146,0.3810862981033113,0.019166741431295112,1511.4280662519
1284.0,0.3337004513781761,0.3818742969241631,0.019475167198397984,1509.3515803765804
1285.0,0.3344531617337281,0.382726735829293,0.019850458154253427,1506.8641412215975
1286.0,0.3352114429207578,0.3833613327969002,0.020148062693731403,1504.2710974997149
1287.0,0.33576156023822756,0.38365089083761744,0.02030911788887289,1502.3477365113758
1288.0,0.3359485742420399,0.38351041521898777,0.020370550863884423,1501.2719363007075
1289.0,0.33575304744714296,0.383075047004925,0.02035998579412002,1501.0766065998193
1290.0,0.3353850559189833,0.38267799662001206,0.020240895056566927,1501.0764685941915
1291.0,0.33515468482329464,0.382633834716901,0.020061541197493662,1500.440976463686
1292.0,0.33524559135531773,0.3830478729010947,0.019966267580896133,1498.1037172405245
1293.0,0.33578012337086705,0.383987663590017,0.020046594183425765,1494.201984363151
1294.0,0.3367276850255254,0.38535240096770534,0.020309638840634452,1489.0908428918685
1295.0,0.33802384478044417,0.38703274861303916,0.020765034984140382,1483.9757438786305
1296.0,0.3394224946260945,0.3887348691441433,0.02125392547040788,1479.3787898121193
1297.0,0.3405800329975684,0.3902268761458768,0.021667542510296737,1475.6355963573933
1298.0,0.3412395551837387,0.3913924181626185,0.021965347201815047,1472.9793234939814
1299.0,0.3413444104010311,0.3922154846312353,0.022129838698922766,1473.6406562218174
1300.0,0.34102722177632433,0.39282954016352356,0.022263285600252987,1474.411549298407
1301.0,0.34062198539714894,0.39350208428564126,0.022429918440503495,1474.7287611338484
1302.0,0.34041073441412434,0.3944530534098715,0.02263552193057626,1474.356357600843
1303.0,0.3404871083792897,0.39572153888198836,0.022930099969644607,1473.7144490227322
1304.0,0.3408875977794921,0.39731136089266494,0.023416445192814217,1473.2937632919445
1305.0,0.34159455488269674,0.3991099514363424,0.024175009935727694,1473.5231983245662
1306.0,0.34248917937102785,0.4009081682759897,0.025184028961191283,1475.147963034662
1307.0,0.3433837826010427,0.4025043725105693,0.026330717573874087,1477.864697396137
1308.0,0.3440314785384266,0.4036572876808847,0.02743156775435162,1481.5951531972698
1309.0,0.3442439701888574,0.4041999242636767,0.02838843019457863,1486.9213864463359
1310.0,0.34408540324014525,0.4042791788448912,0.02917486291176681,1491.4545348732254
1311.0,0.34382504356812577,0.40421422842178334,0.029834558557363063,1494.589438456962
1312.0,0.3437523824758495,0.404309419804582,0.03047175837548035,1495.8895849224118
1313.0,0.3441340690555577,0.4048330751807831,0.031212202763230973,1496.7597943040446
1314.0,0.34486962016852635,0.40571078074626904,0.03209614576738339,1498.4178681257492
1315.0,0.34577683441125884,0.40682850899585,0.0329824493629197,1497.3312781225147
1316.0,0.34673135967334134,0.4079777390888338,0.033867421875379326,1494.1863693472721
1317.0,0.34757357178972,0.4088951710247487,0.03465134860087837,1491.1265017581532
1318.0,0.34798051562595356,0.40924323472636,0.03513252917404264,1489.57514532134
1319.0,0.3477341061521467,0.4088805408069011,0.03530163531333272,1487.146880610715
1320.0,0.3468545056945399,0.4078678377161058,0.03528767152048843,1483.9769562687736
1321.0,0.3456064725377238,0.4065097259004115,0.035205030973580936,1480.08872871829
