# r(Angstrom) g(r)
3.913043478260869179e+00 9.137021199832874307e-01
3.946488294314381307e+00 8.141261951361701277e-01
3.979933110367892990e+00 1.380271968864076992e+00
4.013377926421404673e+00 1.140264787107939881e+00
4.046822742474915913e+00 1.682358515745330241e+00
4.080267558528428040e+00 8.143669001804942909e-01
4.113712374581939279e+00 9.821556456446117744e-01
4.147157190635451407e+00 9.155761515028980613e-01
4.180602006688962646e+00 9.260724905165683696e-01
4.214046822742474774e+00 1.379550881918857996e+00
4.247491638795986013e+00 9.699970295573977497e-01
4.280936454849498141e+00 9.310846540186651366e-01
4.314381270903010268e+00 1.081307326522180867e+00
4.347826086956521507e+00 1.157390370478282415e+00
4.381270903010033635e+00 1.094260311147169151e+00
4.414715719063544874e+00 9.206256006919979473e-01
4.448160535117057002e+00 8.405277250969849234e-01
4.481605351170568241e+00 9.370330198369493102e-01
4.515050167224080369e+00 1.202376485326675848e+00
4.548494983277591608e+00 1.121351151281683611e+00
4.581939799331103735e+00 8.131867717365012238e-01
4.615384615384614975e+00 9.247920530400426387e-01
4.648829431438127102e+00 1.336985414294030505e+00
4.682274247491638342e+00 1.158261232417602926e+00
4.715719063545150469e+00 1.063192933416923891e+00
4.749163879598661708e+00 1.378351066394891467e+00
4.782608695652173836e+00 1.225201227239515855e+00
4.816053511705685075e+00 9.062266273108934289e-01
4.849498327759197203e+00 1.080023750925081849e+00
4.882943143812708442e+00 8.816522304406428923e-01
4.916387959866220569e+00 1.195890016269588907e+00
4.949832775919731809e+00 9.116930339415032503e-01
4.983277591973243936e+00 1.199383077487644389e+00
5.016722408026756064e+00 1.009453701122910108e+00
5.050167224080267303e+00 1.064873098718377875e+00
5.083612040133779431e+00 1.305216305004846200e+00
5.117056856187290670e+00 8.030747119184810101e-01
5.150501672240802797e+00 6.936235269889955424e-01
5.183946488294314037e+00 9.129747203413051126e-01
5.217391304347826164e+00 8.047719887598284716e-01
5.250836120401337404e+00 1.048852382750370404e+00
5.284280936454849531e+00 9.572003971245933718e-01
5.317725752508360770e+00 7.282962426202429507e-01
5.351170568561872898e+00 8.875841208706264363e-01
5.384615384615384137e+00 8.766264322594201630e-01
5.418060200668896265e+00 1.194304021370750091e+00
5.451505016722407504e+00 1.032272079820296229e+00
5.484949832775919631e+00 9.614878539547407899e-01
5.518394648829430871e+00 9.499038039198722805e-01
5.551839464882942998e+00 1.038068679529556615e+00
5.585284280936454238e+00 8.992533618692818420e-01
5.618729096989966365e+00 9.441496498893366951e-01
5.652173913043477604e+00 7.135028097461469931e-01
5.685618729096989732e+00 6.237934767937236558e-01
5.719063545150501859e+00 1.032034593015210167e+00
5.752508361204013099e+00 1.059847990556290309e+00
5.785953177257525226e+00 7.071745261336815913e-01
5.819397993311036466e+00 8.026618970613497162e-01
5.852842809364548593e+00 7.551437005374938005e-01
5.886287625418059832e+00 1.037662877319983634e+00
5.919732441471571960e+00 1.076052836351867548e+00
5.953177257525083199e+00 9.403056038532541239e-01
5.986622073578595327e+00 8.564480399059424265e-01
6.020066889632106566e+00 9.679824256859402842e-01
6.053511705685618693e+00 8.137435592360798831e-01
6.086956521739129933e+00 8.048502760098082964e-01
6.120401337792642060e+00 1.182445602864606204e+00
6.153846153846153300e+00 1.100177629423930936e+00
6.187290969899665427e+00 9.508723557270182258e-01
6.220735785953176666e+00 7.026935796759977704e-01
6.254180602006688794e+00 1.076466870101767892e+00
6.287625418060200033e+00 1.142737569737405368e+00
6.321070234113712161e+00 9.221315014472895033e-01
6.354515050167223400e+00 8.472989226905717208e-01
6.387959866220735528e+00 1.117963963293493901e+00
6.421404682274246767e+00 6.808485838244076049e-01
6.454849498327758894e+00 9.475728591753599384e-01
6.488294314381271022e+00 9.274336460532426329e-01
6.521739130434782261e+00 1.072684185116650868e+00
6.555183946488294389e+00 1.041374967350121805e+00
6.588628762541805628e+00 1.051068983239134669e+00
6.622073578595317755e+00 1.100534732459439891e+00
6.655518394648828995e+00 1.119243917596329796e+00
6.688963210702341122e+00 1.196363584548871373e+00
6.722408026755852362e+00 1.349574354038228119e+00
6.755852842809364489e+00 9.998052443090931218e-01
6.789297658862875728e+00 9.709647857959872175e-01
6.822742474916387856e+00 9.426392491388704276e-01
6.856187290969899095e+00 9.894967330464242705e-01
6.889632107023411223e+00 7.118406308588733911e-01
6.923076923076922462e+00 1.373368952723314163e+00
6.956521739130434590e+00 1.133522305721377021e+00
6.989966555183945829e+00 1.176617830163342759e+00
7.023411371237457956e+00 1.192155179758850991e+00
7.056856187290969196e+00 9.870280138643729995e-01
7.090301003344481323e+00 7.158601563877616814e-01
7.123745819397992562e+00 9.859191619068902179e-01
7.157190635451504690e+00 8.653643563009321138e-01
7.190635451505016817e+00 9.507267273171831068e-01
7.224080267558528057e+00 1.051299476914347331e+00
7.257525083612040184e+00 9.499889911377720209e-01
7.290969899665551424e+00 1.197284528144184623e+00
7.324414715719063551e+00 1.047305002942771512e+00
7.357859531772574790e+00 1.013503119718532020e+00
7.391304347826086918e+00 9.802675824643374280e-01
7.424749163879598157e+00 9.236984957480574021e-01
7.458193979933110285e+00 7.970739269074781363e-01
7.491638795986621524e+00 9.464223122321698822e-01
7.525083612040133652e+00 9.690567649196976108e-01
7.558528428093644891e+00 1.144938499392202047e+00
7.591973244147157018e+00 8.911593525968986018e-01
7.625418060200668258e+00 1.087232432210429423e+00
7.658862876254180385e+00 9.056331523236756942e-01
7.692307692307691624e+00 9.497306148424387029e-01
7.725752508361203752e+00 1.051880442201203802e+00
7.759197324414714991e+00 1.101192822812497196e+00
7.792642140468227119e+00 8.459494978716235458e-01
7.826086956521738358e+00 1.053814066528246718e+00
7.859531772575250486e+00 9.595868808871563793e-01
7.892976588628762613e+00 9.021526751393120769e-01
7.926421404682273852e+00 8.945716050227879856e-01
7.959866220735785980e+00 1.018762476745746604e+00
7.993311036789297219e+00 1.876220986296327276e+00
8.026755852842809347e+00 1.015520021357389391e+00
8.060200668896321474e+00 8.989794393923523641e-01
8.093645484949831825e+00 5.698070695944317254e-01
8.127090301003343953e+00 8.842724780166164589e-01
8.160535117056856080e+00 8.770539674260862117e-01
8.193979933110368208e+00 9.745759363421229171e-01
8.227424749163878559e+00 1.206733891475277654e+00
8.260869565217390686e+00 8.752274293120606563e-01
8.294314381270902814e+00 7.724404477661643842e-01
8.327759197324414941e+00 1.158890538686633942e+00
8.361204013377925293e+00 1.017728616552703969e+00
8.394648829431437420e+00 9.286300353923995221e-01
8.428093645484949548e+00 1.162431915951242400e+00
8.461538461538461675e+00 1.048993093154217959e+00
8.494983277591972026e+00 1.077283834780814686e+00
8.528428093645484154e+00 1.026595997883793743e+00
8.561872909698996281e+00 1.000631547426871881e+00
8.595317725752508409e+00 1.135563339938188809e+00
8.628762541806020536e+00 1.085498419284120386e+00
8.662207357859530887e+00 1.059586269415275561e+00
8.695652173913043015e+00 9.585195262806917027e-01
8.729096989966555142e+00 9.973215338593615087e-01
8.762541806020067270e+00 1.121320958204012230e+00
8.795986622073577621e+00 9.992724551564970970e-01
8.829431438127089748e+00 9.635566413821269327e-01
8.862876254180601876e+00 9.842742247955169610e-01
